#ID	genome_anti_hits	prophage_hits	pBGC_hits	pBGC_types	coordinates	genome_length	name
GCF_000007385.1_ASM738v1_genomic	2	1	0	-	-	0	NC_006834.1 Xanthomonas oryzae pv. oryzae KACC 10331, complete genome
GCF_000007145.1_ASM714v1_genomic	3	2	0	-	-	0	NC_003902.1 Xanthomonas campestris pv. campestris str. ATCC 33913 chromosome, complete genome
GCF_000007405.1_ASM740v1_genomic	3	13	0	-	-	0	NC_004741.1 Shigella flexneri 2a str. 2457T, complete genome
GCF_000007505.1_ASM750v1_genomic	4	1	0	-	-	0	NC_004310.3 Brucella suis 1330 chromosome I, complete sequence
GCF_000007845.1_ASM784v1_genomic	6	5	0	-	-	0	NC_003997.3 Bacillus anthracis str. Ames chromosome, complete genome
GCF_000007685.1_ASM768v1_genomic	0	0	0	-	-	0	NC_005823.1 Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130, chromosome I, complete sequence
GCF_000007445.1_ASM744v1_genomic	5	4	0	-	-	0	NC_004431.1 Escherichia coli CFT073, complete genome
GCF_000008605.1_ASM860v1_genomic	0	0	0	-	-	0	NC_000919.1 Treponema pallidum subsp. pallidum str. Nichols complete genome
GCF_000008725.1_ASM872v1_genomic	0	0	0	-	-	0	NC_000117.1 Chlamydia trachomatis D/UW-3/CX chromosome, complete genome
GCF_000006745.1_ASM674v1_genomic	3	1	0	-	-	0	NC_002505.1 Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I, complete sequence
GCF_000008185.1_ASM818v1_genomic	3	1	0	-	-	0	NC_002967.9 Treponema denticola ATCC 35405 chromosome, complete genome
GCF_000008525.1_ASM852v1_genomic	0	0	0	-	-	0	NC_000915.1 Helicobacter pylori 26695 chromosome, complete genome
GCF_000008745.1_ASM874v1_genomic	0	0	0	-	-	0	NC_000922.1 Chlamydophila pneumoniae CWL029 chromosome, complete genome
GCF_000006765.1_ASM676v1_genomic	12	2	0	-	-	0	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
GCF_000008545.1_ASM854v1_genomic	1	0	0	-	-	0	NC_000853.1 Thermotoga maritima MSB8 chromosome, complete genome
GCF_000006645.1_ASM664v1_genomic	7	2	0	-	-	0	NC_004088.1 Yersinia pestis KIM10+, complete genome
GCF_000007565.2_ASM756v2_genomic	3	4	0	-	-	0	NC_002947.4 Pseudomonas putida KT2440 chromosome, complete genome
GCF_000006725.1_ASM672v1_genomic	2	7	1	bacteriocin	1585980-1631409	2679306	NC_002488.3 Xylella fastidiosa 9a5c, complete genome
GCF_000008285.1_ASM828v1_genomic	1	1	0	-	-	0	NC_002973.6 Listeria monocytogenes str. 4b F2365, complete genome
GCF_000009065.1_ASM906v1_genomic	8		0	-	-	0	NC_003143.1 Yersinia pestis CO92 chromosome, complete genome
GCF_000006925.2_ASM692v2_genomic	3	10	0	-	-	0	NC_004337.2 Shigella flexneri 2a str. 301 chromosome, complete genome
GCF_000006945.2_ASM694v2_genomic	2	6	0	-	-	0	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome
GCF_000008465.1_ASM846v1_genomic	2	0	0	-	-	0	NC_006512.1 Idiomarina loihiensis L2TR, complete genome
GCF_000008345.1_ASM834v1_genomic	3	1	0	-	-	0	NC_006085.1 Propionibacterium acnes KPA171202, complete genome
GCF_000008125.1_ASM812v1_genomic	2	0	0	-	-	0	NC_005835.1 Thermus thermophilus HB27, complete genome
GCF_000008785.1_ASM878v1_genomic	0	0	0	-	-	0	NC_000921.1 Helicobacter pylori J99, complete genome
GCF_000005825.2_ASM582v2_genomic	5	0	0	-	-	0	NC_013791.2 Bacillus pseudofirmus OF4, complete genome
GCF_000008325.1_ASM832v1_genomic	7	2	0	-	-	0	NC_002977.6 Methylococcus capsulatus str. Bath, complete genome
GCF_000009345.1_ASM934v1_genomic	5		0	-	-	0	NC_008800.1 Yersinia enterocolitica subsp. enterocolitica 8081 chromosome, complete genome
GCF_000008485.1_ASM848v1_genomic	7	0	0	-	-	0	NC_002942.5 Legionella pneumophila subsp. pneumophila str. Philadelphia 1 chromosome, complete genome
GCF_000008005.1_ASM800v1_genomic	6	1	0	-	-	0	NC_003909.8 Bacillus cereus ATCC 10987, complete genome
GCF_000007825.1_ASM782v1_genomic	9	6	0	-	-	0	NC_004722.1 Bacillus cereus ATCC 14579 chromosome, complete genome
GCF_000008145.1_ASM814v1_genomic	4	0	0	-	-	0	NC_006932.1 Brucella abortus biovar 1 str. 9-941 chromosome I, complete sequence
GCF_000008985.1_ASM898v1_genomic	2	0	0	-	-	0	NC_006570.2 Francisella tularensis subsp. tularensis SCHU S4 chromosome, complete genome
GCF_000009025.1_ASM902v1_genomic	0	0	0	-	-	0	NC_007356.1 Dehalococcoides sp. CBDB1 complete genome
GCF_000008625.1_ASM862v1_genomic	2	0	0	-	-	0	NC_000918.1 Aquifex aeolicus VF5 chromosome, complete genome
GCF_000008885.1_ASM888v1_genomic	0	0	0	-	-	0	NC_004344.2 Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis DNA, complete genome
GCF_000008805.1_ASM880v1_genomic	5	1	0	-	-	0	NC_003112.2 Neisseria meningitidis MC58 chromosome, complete genome
GCF_000009085.1_ASM908v1_genomic	0	0	0	-	-	0	NC_002163.1 Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 chromosome, complete genome
GCF_000008165.1_ASM816v1_genomic	6	5	0	-	-	0	NC_005945.1 Bacillus anthracis str. Sterne chromosome, complete genome
GCF_000008425.1_ASM842v1_genomic	10	4	0	-	-	0	NC_006322.1 Bacillus licheniformis DSM 13 = ATCC 14580, complete genome
GCF_000009245.1_ASM924v1_genomic	2	0	0	-	-	0	NC_007880.1 Francisella tularensis subsp. holarctica LVS complete genome
GCF_000007165.1_ASM716v1_genomic	5	1	0	-	-	0	NC_003919.1 Xanthomonas axonopodis pv. citri str. 306, complete genome
GCF_000007785.1_ASM778v1_genomic	2	7	1	bacteriocin	1398097-1444010	3218031	NC_004668.1 Enterococcus faecalis V583 chromosome, complete genome
GCF_000009325.1_ASM932v1_genomic	2	0	0	-	-	0	NC_008245.1 Francisella tularensis subsp. tularensis strain FSC 198 complete genome
GCF_000006965.1_ASM696v1_genomic	6	0	0	-	-	0	NC_003047.1 Sinorhizobium meliloti 1021 chromosome, complete genome
GCF_000009105.1_ASM910v1_genomic	4	2	0	-	-	0	NC_003116.1 Neisseria meningitidis serogroup A strain Z2491 complete genome
GCF_000009005.1_ASM900v1_genomic	5	2	0	-	-	0	NC_007622.1 Staphylococcus aureus RF122 complete genome
GCF_000008585.1_ASM858v1_genomic	14	0	0	-	-	0	NC_002755.2 Mycobacterium tuberculosis CDC1551, complete genome
GCF_000009145.1_ASM914v1_genomic	4	1	0	-	-	0	NC_004757.1 Nitrosomonas europaea ATCC 19718, complete genome
GCF_000009545.1_ASM954v1_genomic	3	0	0	-	-	0	NC_012004.1 Streptococcus uberis 0140J complete genome
GCF_000009385.1_ASM938v1_genomic	3	4	0	-	-	0	NC_009332.1 Streptococcus pyogenes Manfredo complete genome
GCF_000007805.1_ASM780v1_genomic	8	4	0	-	-	0	NC_004578.1 [Pseudomonas syringae] pv. tomato str. DC3000 chromosome, complete genome
GCF_000009305.1_ASM930v1_genomic	0	1	0	-	-	0	NC_008229.1 Helicobacter acinonychis str. Sheeba complete genome, strain Sheeba
GCF_000009365.1_ASM936v1_genomic	4	0	0	-	-	0	NC_008260.1 Alcanivorax borkumensis SK2, complete genome
GCF_000009465.1_ASM946v1_genomic	4	2	0	-	-	0	NC_008767.1 Neisseria meningitidis serogroup C FAM18 complete genome
GCF_000009405.1_ASM940v1_genomic	3	1	0	-	-	0	NC_012121.1 Staphylococcus carnosus subsp. carnosus TM300 complete genome
GCF_000009425.1_ASM942v1_genomic	1	6	0	-	-	0	NC_009004.1 Lactococcus lactis subsp. cremoris MG1363, complete genome
GCF_000008765.1_ASM876v1_genomic	5	2	0	-	-	0	NC_003030.1 Clostridium acetobutylicum ATCC 824 chromosome, complete genome
GCF_000008505.1_ASM850v1_genomic	5	0	0	-	-	0	NC_005957.1 [Bacillus thuringiensis] serovar konkukian str. 97-27 chromosome, complete genome
GCF_000008105.1_ASM810v1_genomic	2	5	0	-	-	0	NC_006905.1 Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67, complete genome
GCF_000007885.1_ASM788v1_genomic	7	1	0	-	-	0	NC_005810.1 Yersinia pestis biovar Microtus str. 91001, complete genome
GCF_000009045.1_ASM904v1_genomic	12	3	1	glycocin	2152086-2288062	4215606	NC_000964.3 Bacillus subtilis subsp. subtilis str. 168 complete genome
GCF_000010005.1_ASM1000v1_genomic	0	3	0	-	-	0	NC_010609.1 Lactobacillus reuteri JCM 1112 DNA, complete genome
GCF_000008945.1_ASM894v1_genomic	1	1	0	-	-	0	NC_010816.1 Bifidobacterium longum DJO10A, complete genome
GCF_000007645.1_ASM764v1_genomic	3	0	0	-	-	0	NC_004461.1 Staphylococcus epidermidis ATCC 12228 chromosome, complete genome
GCF_000008565.1_ASM856v1_genomic	4	0	0	-	-	0	NC_001263.1 Deinococcus radiodurans R1 chromosome 1, complete sequence
GCF_000009945.1_ASM994v1_genomic	0	0	0	-	-	0	NC_007899.1 Chlamydia felis Fe/C-56 Fe/C-56 DNA, complete genome
GCF_000009605.1_ASM960v1_genomic	0	0	0	-	-	0	NC_002528.1 Buchnera aphidicola str. APS (Acyrthosiphon pisum) chromosome, complete genome
GCF_000009905.1_ASM990v1_genomic	1	0	0	-	-	0	NC_006177.1 Symbiobacterium thermophilum IAM 14863 DNA, complete genome
GCF_000010365.1_ASM1036v1_genomic	0	0	0	-	-	0	NC_008512.1 Candidatus Carsonella ruddii PV DNA, complete genome
GCF_000009525.1_ASM952v1_genomic	2	2	0	-	-	0	NC_011274.1 Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91 complete genome
GCF_000009505.1_ASM950v1_genomic	2	2	0	-	-	0	NC_011294.1 Salmonella enterica subsp. enterica serovar Enteritidis str. P125109 complete genome
GCF_000009205.2_ASM920v2_genomic	2	3	0	-	-	0	NC_009089.1 Clostridioides difficile 630, complete genome
GCF_000010205.1_ASM1020v1_genomic	0	0	0	-	-	0	NC_010793.1 Orientia tsutsugamushi str. Ikeda DNA, complete genome
GCF_000010065.1_ASM1006v1_genomic	3	1	0	-	-	0	NC_006576.1 Synechococcus elongatus PCC 6301 DNA, complete genome
GCF_000009565.1_ASM956v1_genomic	2	3	0	-	-	0	NC_012892.2 Escherichia coli BL21(DE3), complete genome
GCF_000008445.1_ASM844v1_genomic	6	5	0	-	-	0	NC_007530.2 Bacillus anthracis str. 'Ames Ancestor', complete genome
GCF_000009445.1_ASM944v1_genomic	15	0	0	-	-	0	NC_008769.1 Mycobacterium bovis BCG Pasteur 1173P2, complete genome
GCF_000009645.1_ASM964v1_genomic	4	2	0	-	-	0	NC_002745.2 Staphylococcus aureus subsp. aureus N315 DNA, complete genome
GCF_000009685.1_ASM968v1_genomic	1	1	0	-	-	0	NC_003366.1 Clostridium perfringens str. 13 DNA, complete genome
GCF_000008925.1_ASM892v1_genomic	1	3	0	-	-	0	NC_007929.1 Lactobacillus salivarius UCC118 chromosome, complete genome
GCF_000010405.1_ASM1040v1_genomic	0	0	0	-	-	0	NC_009465.1 Candidatus Vesicomyosocius okutanii HA DNA, complete genome
GCF_000010145.1_ASM1014v1_genomic	1	1	0	-	-	0	NC_010610.1 Lactobacillus fermentum IFO 3956 DNA, complete genome
GCF_000009665.1_ASM966v1_genomic	4	3	0	-	-	0	NC_002758.2 Staphylococcus aureus subsp. aureus Mu50 DNA, complete genome
GCF_000009825.1_ASM982v1_genomic	4	2	0	-	-	0	NC_006582.1 Bacillus clausii KSM-K16 DNA, complete genome
GCF_000009225.2_ASM922v1_genomic	8	4	0	-	-	0	NC_012660.1 Pseudomonas fluorescens SBW25 complete genome
GCF_000010325.1_ASM1032v1_genomic	0	1	0	-	-	0	NC_009662.1 Nitratiruptor sp. SB155-2 genomic DNA, complete genome
GCF_000010345.1_ASM1034v1_genomic	1	0	0	-	-	0	NC_009663.1 Sulfurovum sp. NBC37-1 genomic DNA, complete genome
GCF_000009125.1_ASM912v1_genomic	11	3	0	-	-	0	NC_003295.1 Ralstonia solanacearum GMI1000 chromosome complete sequence
GCF_000010285.1_ASM1028v1_genomic	5	0	0	-	-	0	NC_010617.1 Kocuria rhizophila DC2201 DNA, complete genome
GCF_000010425.1_ASM1042v1_genomic	0	0	0	-	-	0	NC_008618.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome
GCF_000009785.1_ASM978v1_genomic	4	1	0	-	-	0	NC_006510.1 Geobacillus kaustophilus HTA426 DNA, complete genome
GCF_000010025.1_ASM1002v1_genomic	2	2	0	-	-	0	NC_007705.1 Xanthomonas oryzae pv. oryzae MAFF 311018 DNA, complete genome
GCF_000010185.1_ASM1018v1_genomic	1	1	0	-	-	0	NC_010376.1 Finegoldia magna ATCC 29328 DNA, complete genome
GCF_000009985.1_ASM998v1_genomic	4	6	0	-	-	0	NC_007626.1 Magnetospirillum magneticum AMB-1 DNA, complete genome
GCF_000008865.2_ASM886v2_genomic	5	15	1	bacteriocin	1246182-1310801	5498578	NC_002695.2 Escherichia coli O157:H7 str. Sakai DNA, complete genome
GCF_000010045.1_ASM1004v1_genomic	4	2	0	-	-	0	NC_007907.1 Desulfitobacterium hafniense Y51 DNA, complete genome
GCF_000010505.1_ASM1050v1_genomic	0	0	0	-	-	0	NC_010729.1 Porphyromonas gingivalis ATCC 33277 DNA, complete genome
GCF_000010445.1_ASM1044v1_genomic	4	3	0	-	-	0	NC_009782.1 Staphylococcus aureus subsp. aureus Mu3 DNA, complete genome
GCF_000010305.1_ASM1030v1_genomic	4	0	0	-	-	0	NC_012489.1 Gemmatimonas aurantiaca T-27 DNA, complete genome
GCF_000009925.1_ASM992v1_genomic	1	0	0	-	-	0	NC_006347.1 Bacteroides fragilis YCH46 DNA, complete genome
GCF_000010125.1_ASM1012v1_genomic	2	0	0	-	-	0	NC_007350.1 Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 DNA, complete genome
GCF_000009885.1_ASM988v1_genomic	5	1	0	-	-	0	NC_012731.1 Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 DNA, complete genome
GCF_000009585.1_ASM958v1_genomic	5	2	0	-	-	0	NC_017333.1 Staphylococcus aureus subsp. aureus ST398 complete genome
GCF_000010465.1_ASM1046v1_genomic	5	4	0	-	-	0	NC_009641.1 Staphylococcus aureus subsp. aureus str. Newman DNA, complete genome
GCF_000010225.1_ASM1022v1_genomic	4	2	0	-	-	0	NC_009342.1 Corynebacterium glutamicum R DNA, complete genome
GCF_000010245.2_ASM1024v1_genomic	2	5	0	-	-	0	NC_007779.1 Escherichia coli str. K-12 substr. W3110 DNA, complete genome
GCF_000010785.1_ASM1078v1_genomic	2	0	0	-	-	0	NC_013799.1 Hydrogenobacter thermophilus TK-6 DNA, complete genome
GCF_000010705.1_ASM1070v1_genomic	3	2	0	-	-	0	NC_012891.1 Streptococcus dysgalactiae subsp. equisimilis GGS_124 DNA, complete genome
GCF_000009745.1_ASM974v1_genomic	3	1	0	-	-	0	NC_005139.1 Vibrio vulnificus YJ016 DNA, chromosome I, complete sequence
GCF_000009285.1_ASM928v2_genomic	7	0	0	-	-	0	NC_008313.1 Ralstonia eutropha H16 chromosome 1
GCF_000009865.1_ASM986v1_genomic	3	2	0	-	-	0	NC_007168.1 Staphylococcus haemolyticus JCSC1435 DNA, complete genome
GCF_000011165.1_ASM1116v1_genomic	0	0	0	-	-	0	NC_002491.1 Chlamydophila pneumoniae J138 genomic DNA, complete sequence
GCF_000011225.1_ASM1122v1_genomic	0	0	0	-	-	0	NC_004432.1 Mycoplasma penetrans HF-2 DNA, complete genome
GCF_000010265.1_ASM1026v1_genomic	4	6	0	-	-	0	NC_011837.1 Clostridium kluyveri NBRC 12016 DNA, complete genome
GCF_000011025.1_ASM1102v1_genomic	2	0	0	-	-	0	NC_013715.1 Rothia mucilaginosa DY-18 DNA, complete genome
GCF_000010165.1_ASM1016v1_genomic	11	3	0	-	-	0	NC_012491.1 Brevibacillus brevis NBRC 100599 DNA, complete genome
GCF_000009725.1_ASM972v1_genomic	3	0	0	-	-	0	NC_000911.1 Synechocystis sp. PCC 6803 DNA, complete genome
GCF_000009165.1_ASM916v1_genomic	4	1	0	-	-	0	NC_007508.1 Xanthomonas campestris pv. vesicatoria complete genome
GCF_000011445.1_ASM1144v1_genomic	0	0	0	-	-	0	NC_005364.2 Mycoplasma mycoides subsp. mycoides SC str. PG1 chromosome, complete genome
GCF_000010525.1_ASM1052v1_genomic	7	4	0	-	-	0	NC_009937.1 Azorhizobium caulinodans ORS 571 DNA, complete genome
GCF_000010485.1_ASM1048v1_genomic	3	3	0	-	-	0	NC_013654.1 Escherichia coli SE15 DNA, complete genome
GCF_000011045.1_ASM1104v1_genomic	1	3	0	-	-	0	NC_017482.1 Lactobacillus rhamnosus ATCC 53103 DNA, complete genome
GCF_000009625.1_ASM962v1_genomic	10	1	0	-	-	0	NC_002678.2 Mesorhizobium loti MAFF303099 DNA, complete genome
GCF_000010985.1_ASM1098v1_genomic	0	0	0	-	-	0	NC_013939.1 Deferribacter desulfuricans SSM1 DNA, complete genome
GCF_000011405.1_ASM1140v1_genomic	2	0	0	-	-	0	NC_017463.1 Francisella tularensis subsp. holarctica OSU18, complete genome
GCF_000011285.1_ASM1128v1_genomic	3	6	0	-	-	0	NC_004606.1 Streptococcus pyogenes SSI-1 DNA, complete genome
GCF_000010685.1_ASM1068v1_genomic	15	0	0	-	-	0	NC_012207.1 Mycobacterium bovis BCG str. Tokyo 172 DNA, complete genome
GCF_000011465.1_ASM1146v1_genomic	4	0	0	-	-	0	NC_005072.1 Prochlorococcus marinus MED4 complete genome
GCF_000011345.1_ASM1134v1_genomic	3	0	0	-	-	0	NC_004113.1 Thermosynechococcus elongatus BP-1 chromosome, complete genome
GCF_000010625.1_ASM1062v1_genomic	11	1	0	-	-	0	NC_010296.1 Microcystis aeruginosa NIES-843 DNA, complete genome
GCF_000011265.1_ASM1126v1_genomic	5	2	0	-	-	0	NC_003923.1 Staphylococcus aureus subsp. aureus MW2 DNA, complete genome
GCF_000011245.1_ASM1124v1_genomic	5	1	0	-	-	0	NC_004193.1 Oceanobacillus iheyensis HTE831 DNA, complete genome
GCF_000011745.1_ASM1174v1_genomic	0	0	0	-	-	0	NC_007292.1 Candidatus Blochmannia pennsylvanicus str. BPEN, complete genome
GCF_000011325.1_ASM1132v1_genomic	4	0	0	-	-	0	NC_003450.3 Corynebacterium glutamicum ATCC 13032 chromosome, complete genome
GCF_000011145.1_ASM1114v1_genomic	5	1	0	-	-	0	NC_002570.2 Bacillus halodurans C-125 DNA, complete genome
GCF_000010085.1_ASM1008v1_genomic	4	24	0	-	-	0	NC_007712.1 Sodalis glossinidius str. 'morsitans' DNA, complete genome
GCF_000009805.1_ASM980v1_genomic	16	3	0	-	-	0	NC_006361.1 Nocardia farcinica IFM 10152 DNA, complete genome
GCF_000011485.1_ASM1148v1_genomic	16	0	0	-	-	0	NC_005071.1 Prochlorococcus marinus MIT9313 complete genome
GCF_000011725.1_ASM1172v1_genomic	0	0	0	-	-	0	NC_017382.1 Helicobacter pylori 51, complete genome
GCF_000009765.2_ASM976v2_genomic	37	1	0	-	-	0	NC_003155.5 Streptomyces avermitilis MA-4680 = NBRC 14893 DNA, complete genome
GCF_000009485.1_ASM948v1_genomic	13	4	0	-	-	0	NC_011000.1 Burkholderia cenocepacia J2315 chromosome 1, complete genome
GCF_000011665.1_ASM1166v1_genomic	3	6	0	-	-	0	NC_006086.1 Streptococcus pyogenes MGAS10394, complete genome
GCF_000011505.1_ASM1150v1_genomic	5	3	0	-	-	0	NC_002952.2 Staphylococcus aureus subsp. aureus strain MRSA252, complete genome
GCF_000011825.1_ASM1182v1_genomic	4	0	0	-	-	0	NC_006448.1 Streptococcus thermophilus LMG 18311, complete genome
GCF_000011765.3_ASM1176v2_genomic	4	3	0	-	-	0	NC_007297.2 Streptococcus pyogenes MGAS5005, complete genome
GCF_000010645.1_ASM1064v1_genomic	0	0	0	-	-	0	NC_011565.1 Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 DNA, complete genome
GCF_000011385.1_ASM1138v1_genomic	7	0	0	-	-	0	NC_005125.1 Gloeobacter violaceus PCC 7421 chromosome, complete genome
GCF_000011845.1_ASM1184v1_genomic	3	0	0	-	-	0	NC_006449.1 Streptococcus thermophilus CNRZ1066, complete genome
GCF_000011865.1_ASM1186v1_genomic	0	1	0	-	-	0	NC_003912.7 Campylobacter jejuni RM1221, complete genome
GCF_000011945.1_ASM1194v1_genomic	0	0	0	-	-	0	NC_004842.2 Anaplasma marginale str. St. Maries, complete genome
GCF_000011905.1_ASM1190v1_genomic	0	1	0	-	-	0	NC_002936.3 Dehalococcoides mccartyi 195, complete genome
GCF_000010665.1_ASM1066v1_genomic	8	1	0	-	-	0	NC_012796.1 Desulfovibrio magneticus RS-1 DNA, complete genome
